,Product,Price,Score,Reviews
84,COMPUGEAR Deluxe DC8700-16R960S-G1650 - Core i7 - 16GB RAM - 960GB SSD - GTX 1650 - Desktop PC,929.0,4.0,1
85,Blue Monkey Game PC- i7 - RTX 2060 6GB - SSD -HDD -16 GB DDR 4,1135.0,4.0,1
86,MSI Infinite 8RB-667EU Intel® 8de generatie Core™ i5 i5-8400 8 GB DDR4-SDRAM 1128 GB HDD+SSD Desktop Zwart PC Windows 10 Home,568.36,4.0,7
87,REBELPLAY Gaming PC - Ryzen 5 - RTX 2060 - 16GB RAM - 480GB SSD - RGB - WiFi,895.0,5.0,1
88,RE-SPAWN | AMD BUDGET GAMING PC | RX VEGA 11 | RYZEN 3400G | 8GB DDR4 | 240GB SSD,429.0,5.0,1
89,AMD Ryzen 3 3200G Allround Game Computer / Gaming PC - GeForce GTX 1050 Ti 4GB - 8GB RAM - 1TB HDD - Windows 10,513.0,4.5,2
90,AMD Ryzen 3 3200G Mid Game Computer (Geschikt voor Fortnite),549.0,2.5,2
91,AMD Ryzen 5 2600X Game Computer / Streaming PC - GeForce GTX 1660 6GB - 16GB RAM - 120GB SSD - 1TB HDD - GAMDIAS,749.0,4.3,21
92,COMPUGEAR Allround AC9400F-16R480S-G1660Ti - Core i5 9400F - GTX 1660 Ti - Game PC,829.0,5.0,1
93,COMPUGEAR Gamer GR3600X-16SH-R2060 - Ryzen 5 3600X - RTX 2060 - Game PC,1125.0,4.6,5
94,AMD Ryzen 3 3200G High Game Computer (Geschikt voor Fortnite),649.0,3.7,82
95,"Blue Monkey Game PC -  GTX 1060, i5, 480GB SSD",775.0,5.0,2
96,AMD Ryzen 5 3400G Game Computer (Geschikt voor Fortnite) / Gaming PC ROOD - 8GB RAM/120GB SSD/1TB HDD - RX Vega 11 - Windows 10,495.0,4.5,2
97,BM Flight Simulator 2020 Game PC - i7 10700k - RTX 2080 SUPER - 1TB m2 SSD - 32GB DDR4,2170.0,4.0,1
98,Vibox Gaming Desktop 1-7 - Game PC,554.95,4.2,20
99,Gaming PC Talrz3 - Ryzen 3 2200G | Vega 8 | 8GB DDR4 3000MHz | 240GB SSD,449.99,1.0,1
100,ScreenON – AMD – Raptor – GamePC.V14559,749.0,5.0,1
101,"Intel i7-9700 Budget Build Game Computer / PC - GTX 1050 ti 4GB - 8GB - 512GB SSD (M2.0, NVMe)",849.0,5.0,1
102,REBELPLAY Gaming PC - Core i5 - GTX 1660 - 16GB RAM - 480GB SSD - RGB - WiFi,789.0,5.0,1
103,ScreenON - AMD - Raptor - GamePC.V15111,549.0,2.5,2
104,Budget Gaming PC - 1 TB HDD - AMD Vega 3 Videokaart - Windows 10 Pro - Ready to play,379.0,1.0,1
105,AMD Ryzen 5 3400G Game Computer / Instap - Upgrade PC - RX Vega 11 - 8GB 2666 RAM +  480GB SSD - aRGB,549.0,4.3,21
106,COMPUTER GALAXY GAMING: Fortnite Game PC,599.0,5.0,1
107,Medium Game PC - Ryzen 5 3400G - 16GB DDR4 - GeForce GTX 1650 4GB GDDR5 - 120GB SSD + 1TB HDD,564.95,4.6,10
108,HP Pavilion Gaming TG01-0450nd - AMD Ryzen 5 - 16 GB - 1Tb SSD - Gaming Desktop - Zwart,1269.0,5.0,1
109,Revengecom Entry Game PC - Ryzen 3 3200G - Vega 8 - 8GB DDR4 - 1000GB HDD,374.95,5.0,1
110,MEDION ERAZER  X67065 Gaming PC | Intel Core i5 9400F | GeForce GTX 1660 Ti,999.0,2.7,6
111,AMD Ryzen 3 2200G Game Computer (Geschikt voor Fortnite) / Gaming PC BLAUW - 8GB RAM/120GB SSD/1TB HDD - RX Vega 8 - Windows 10,399.0,5.0,1
112,IdeaCentre A340-24ICKI3-9100T8GB512GBW10H - All-in-one PC,699.0,3.0,1
113,AMD R3 3200G Game PC V.2 (Geschikt voor Fortnite),419.0,3.7,17
114,Computer-Voordeel.nl Budget I3 Computer,359.0,4.3,3
115,"Refurbished iMac Alu Slim - 21,5 inch - Intel i5 2,7 GHz - 1 TB - Late 2013 / Conditie: Zeer Goed",800.0,1.0,1
116,HP EliteDesk 800 G1 i7 (Refurbished) - Desktop - 4GB - 500GB HDD - Windows 10,349.95,4.5,2
117,Medium Game PC met Ryzen 5 3400G - 8GB DDR4 2666Mhz - 480GB M.2 SSD - Windows 10 Pro,474.99,4.0,1
118,Workstation / Zakelijke PC - AMD Ryzen 5 3400G Computer - 16GB RAM - 240GB SSD + 2TB HDD,575.0,5.0,2
119,HP DC7900 Desktop (Refurbished) - Quad-Core - 4GB - Windows 10,149.95,3.3,3
120,4K Videobewerking PC / Video Editing Computer - AMD Ryzen 5 2600 - 16GB RAM - RX570 8GB - 240GB SSD - 2TB HDD,699.0,5.0,1
121,Lenovo IdeaCentre T540 90LW003AMH - PC,719.0,3.0,1
122,COMPUGEAR Advantage X11 - 4GB RAM - 120GB SSD - Desktop PC,245.0,4.8,4
123,ScreenON - Ryzen 7 - GTX1050 Ti - GamePC.X52196 - WiFi,899.0,5.0,1
124,COMPUGEAR SSD Only SC8700-16R960S - Core i7 - 16GB RAM - 960GB SSD - Desktop PC,739.0,5.0,1
125,HP Pavilion Gaming TG01-1340nd - Intel Core i7 - 16 GB - 1TB SSD - Gaming Desktop - Zwart,1299.0,1.0,1
126,ScreenON - AMD - Night Shark - GamePC.V31582,1299.0,4.0,1
127,MEDION AKOYA E32008 Multimedia PC | AMD Ryzen 3 | Windows 10 Home | Radeon Vega 8 Graphics | 8 GB RAM | 512 GB SSD,499.0,1.0,1
128,ScreenON - Ryzen 5 - 240GB M.2 SSD - 1050Ti 4GB - GamePC.Y245101 - WiFi,529.0,3.0,1
129,Apple Mac mini Intel® 8ste generatie Core™ i5 8 GB DDR4-SDRAM 256 GB SSD Grijs Mini PC,949.95,5.0,1
130,REBELPLAY Gaming PC - Core i5 - RTX 2060 - 16GB RAM - 480GB SSD - RGB - WiFi,899.0,5.0,1
131,Vibox Gaming Desktop 1-5 - Game PC,554.95,3.3,3
132,Intel NUC Mini PC | Pentium J5005 - Quad Core | 8 GB DDR4 | 240 GB SSD | 2x HDMI | Windows 10 Pro,319.0,5.0,2
133,AMD Ryzen 5 2600 Allround Game Computer / Streaming PC - RX 580 8GB - 8GB RAM - 240GB SSD - 1TB HDD - TG4,745.0,4.8,12
134,Pcman Budget Game Pc incl Windows 10,499.0,3.6,10
135,AMD Ryzen 5 2600 Allround Game Computer / PC - RX 580 8GB - 16GB RAM - 480 SSD - Windows 10,699.0,5.0,3
136,ScreenON – AMD – Night Shark – GamePC.V31230,699.0,4.6,9
137,Vibox Gaming Desktop 4-1 - Game PC,589.95,4.5,2
138,GMR Supreme i7 8700 - 16GB - 240GB SSD - 1TB - GTX 1660 Ti 6GB - Game PC,1035.0,4.5,2
139,AMD Ryzen 5 2600 Allround Game Computer / PC - RX 580 8GB - 16GB RAM - 240GB SSD - 1TB HDD - Windows 10,689.0,4.0,1
140,ScreenON - AMD - Steel - GamePC.V32232,749.0,5.0,1
141,ScreenON - AMD R3 2200G Game PC (Geschikt voor Fortnite) - Gaming Computer,359.0,3.5,2
142,"Intel i7-9700 Game Computer / Streaming PC - RTX 2070 SUPER - 16GB - 512GB SSD (M2.0, NVMe) - 2TB HDD",1325.0,5.0,1
143,ScreenON - Ryzen 5 - 240GB M.2 SSD - 1050Ti 4GB - GamePC.Y24595 - WiFi,519.0,3.0,1
144,ScreenON - Intel - Steel - GamePC.V30921,624.0,3.5,13
145,Vibox Gaming Desktop 1-6 - Game PC,699.95,4.2,20
146,4K Videobewerking PC / Video Editing Computer - Ryzen 7 2700X - 32GB RAM - RX580 8GB - 512GB SSD (NVMe) - 3TB HDD - BLACK,1099.0,5.0,2
147,REBELPLAY Gaming PC - Core i7 - GTX 1660 - 16GB RAM - 480GB SSD - RGB - WiFi,965.0,4.0,1
148,Lenovo ThinkCentre M93p - SFF Desktop,175.0,1.0,1
149,HP Slim S01-pF1003nd - Intel Pentium - 8 GB - 256 GB - Mini Tower - Zwart,398.0,5.0,1
150,GMR Supreme i7 8700 - 16GB - 240GB SSD - 1TB - GTX 1660 6GB -  Game PC,1015.0,5.0,3
151,"iMac 21,5"" refurbished - 2,7Ghz intel i5 processor - 8GB ram - 1TB HDD - mid 2011",539.0,4.0,1
152,"Complete Game PC Met 22"" Monitor, Toetsenbord en Muis - Ryzen 3200G - 8GB RAM - 480GB SSD - VEGA 8 - GROEN",579.0,2.0,5
153,Fractal & MSI  Extreme game Desktop PC - voor o.a. game en fotobewerking grote bestanden-  32Gb,3849.0,5.0,1
154,HP OMEN 25L - GT11-0370nd AMD Ryzen 7 - 16 GB - 1512 GB HDD+SSD - Gaming Desktop - Zwart,1249.0,5.0,1
155,COMPUGEAR Premium PC8100-8SH - Core i3 - 8GB RAM - 120GB SSD - 1TB HDD - Desktop PC,425.0,3.0,2
156,ScreenON – AMD – Night Shark – GamePC.V31229,699.0,4.6,9
157,COMPUGEAR SSD Only SC8400-16S - Core i5 - 16GB RAM - 480GB SSD - Desktop PC,545.0,4.0,1
158,COMPUGEAR Advantage X14 - Ryzen - 16GB RAM - 480GB SSD - Desktop PC,499.0,4.8,6
159,Vibox Gaming Desktop 2-1 - Game PC,634.95,4.0,1
160,Vibox Gaming Desktop 20-6 - Game PC,1099.95,5.0,2
161,ScreenON - Ryzen 5 - 240GB M.2 SSD - 1050Ti 4GB - GamePC.Y24593 - WiFi,529.0,3.0,1
162,ScreenON - AMD - Raptor - GamePC.V13113,549.0,3.6,18
163,"ScreenON - Mid-Range Game PC [AMD Ryzen 3 2200G, Nvidia GeForce GTX 1050 Ti, 8GB RAM] - Gaming Desktop",619.0,5.0,1
164,ScreenON - Ryzen 5 - 240GB M.2 SSD - 1050Ti 4GB - GamePC.Y24594 - WiFi,529.0,3.0,1
165,AMD Ryzen 3 3200G Mid Game Computer (Geschikt voor Fortnite),549.0,3.7,82
166,"ScreenON - Extreme 150 Desktop Game PC [Intel Core i7-9700F, NVIDIA GeForce RTX 2080 Ti, 32GB RAM]",2799.0,5.0,2
167,"ScreenON - High-End Game PC [Ryzen 5 2600, AMD Radeon RX 5700 8GB, 16GB RAM] Windows 10 Desktop Gaming Computer",1199.0,5.0,1
168,ScreenON - 120 GB SSD Game PC (Fortnite) - Gaming Desktop,365.0,3.0,2
169,AMD Ryzen 3 3200G Budget Game Computer (Geschikt voor Fortnite),365.0,2.5,2
170,COMPUGEAR Advantage X32 - Core i3 - 8GB RAM - 480GB SSD - GTX 1650 4GB - Game PC,539.0,1.0,1
171,"Intel i7-9700 Game Computer / Streaming PC - RTX 2060 SUPER - 16GB - 512GB SSD (M2.0, NVMe) - 2TB HDD",1299.0,5.0,1
172,"High End Gaming PC - RGB - Ryzen 7 3700X 4,4 Ghz - RTX 2060 - 16 GB DDR4 - Waterkoeling - 500 GB m.2 NVME SSD - 2 TB HDD - Wifi - Windows 10",1539.0,5.0,1
173,COMPUGEAR Premium PC8400-8SH - Core i5 - 8GB RAM - 120GB SSD - 1TB HDD - Desktop PC,519.0,4.8,5
174,Intel NUC Mini PC | Intel Core i7 / 8650U | 8 GB DDR4 | 240 GB SSD | 2 x HDMI | Windows 10 Pro,705.0,4.0,2
175,HP EliteDesk 800 G1 i5 (Refurbished) - Desktop - 4GB - 500GB HDD - Windows 10,225.0,5.0,1
176,"ScreenON - High-End Game PC [Intel Core i5-9400F, Nvidia Geforce RTX 2060, 16GB RAM, 1TB NVME SSD] Windows 10 Desktop Gaming Computer",1249.0,5.0,1
177,AMD Ryzen 5 2600 Allround Game Computer / Streaming PC - GTX 1660 ti 6GB - 8GB RAM - 240GB SSD - 1TB HDD - TG5,825.0,4.8,12
178,AMD Ryzen 3 2200G Game Computer / Instap - Upgrade PC - RX Vega 8 - 8GB 2666 RAM + 240GB SSD - aRGB,499.0,5.0,1
179,Pcman Game Pc Force Intel i5 gtx 1650 ssd windows 10,699.0,5.0,1
180,AMD Ryzen 5 2600 Allround Game Computer / Gaming PC - Radeon RX 570 4GB - 16GB RAM - 480GB SSD - Windows 10 - ROOD,645.0,4.8,4
181,AMD Ryzen 5 3400G Game Computer (Geschikt voor Fortnite) / Gaming PC GROEN - 8GB RAM/120GB SSD/1TB HDD - RX Vega 11 - Windows 10,495.0,4.5,2
182,ScreenON - Ryzen 5 - 240GB M.2 SSD - 1050Ti 4GB - GamePC.Y24574 - WiFi,519.0,3.0,1
183,HP Pavilion 590-p0210nd - Desktop,649.95,4.5,6
184,MSI Infinite S 9SI-075MYS - Gaming Desktop,1099.0,4.5,2
185,Vibox Gaming Desktop 20-3 - Game PC,999.95,5.0,2
186,GMR Essential R5 3400G - 8GB - 240GB SSD - RX Vega 11 - Game PC,445.0,4.5,2
187,COMPUGEAR Deluxe DC9400F-16R960S-G1650 - Core i5 - 16GB RAM - 960GB SSD - GTX 1650 - Desktop PC,769.0,5.0,2
188,AMD Ryzen 5 2600 Allround Game Computer / Gaming PC - RX 580 8GB - 8GB RAM - 480GB SSD,649.0,5.0,1
189,ScreenON – AMD – Works – OfficePC.Z10141,299.0,5.0,1
190,Mini-tour OptiPlex 7050,510.35,3.0,1
191,HP Slim S01-aF0004nd - AMD Ryzen 3 - 8 GB - 512 GB SSD - Mini Tower - Zwart,489.0,5.0,1
192,HP ProDesk 400 MINI G5 i5 9500T/ 8GB / 256GB / W10,619.0,5.0,1
193,ScreenON – AMD – Raptor – GamePC.V22514,519.0,4.5,2
194,AMD Ryzen 5 2600 Allround Game Computer / Gaming PC - GeForce GTX 1050 Ti 4GB - 16GB RAM - 120GB SSD - 1TB HDD - RGB,615.0,4.2,21
