,Product_Name,Price,Review,Number_Of_Reviews,Category
96, Acer Aspire 3 A317-51G-50GM Azerty,"819,00",4.5 , 7 ,Laptops
97, Asus X705MA-BX187T-BE Azerty,"409,00",4 , 1 ,Laptops
98, Acer Aspire 7 A715-75G-527R Azerty,"879,00",4.5 ,12 ,Laptops
99, HP 14s-dq1020nb Azerty,"579,00",4.5 , 4 ,Laptops
100, Acer Nitro 5 AN515-43-R2RA Azerty,"1.019,00",4.5 ,28 ,Laptops
101, HP Pavilion G 15-dk1040nb Azerty,"1.299,00",4.5 ,22 ,Laptops
102, Lenovo IdeaPad 3 14IIL05 81WD00BHMB Azerty,"499,00",4 , 1 ,Laptops
103, HP ENVY x360 15-ee0003nb Azerty,"1.069,00",4.5 ,10 ,Laptops
104," Apple MacBook Air (2020) 8/256GB 1,1GHz Zilver AZERTY","1.249,00",4.5 ,89 ,Laptops
105, Lenovo IdeaPad L340-15IRH Gaming 81LK01GFMB Azerty,"899,00",4.5 ,59 ,Laptops
106, HP 15-dw1039nb Azerty,"749,00",5 , 3 ,Laptops
107, Acer Aspire 5 A515-54G-52D5 Azerty,"749,00",4.5 , 8 ,Laptops
108, Lenovo IdeaPad 3 15IIL05 81WE00FLMB Azerty,"589,00",4.5 ,13 ,Laptops
109, Lenovo IdeaPad L340-15IRH Gaming 81LK01GDMB Azerty,"999,00",4.5 ,59 ,Laptops
110, Asus Vivobook 14 X413FA-EK492T-BE Azerty,"479,00",0 , 0 ,Laptops
111, HP Spectre x360 15-eb0000nb Azerty,"1.699,00",0 , 0 ,Laptops
112, Lenovo IdeaPad Duet Chromebook Azerty,"299,00",4.5 , 4 ,Laptops
113, HP 17-ca1129nb Azerty,"579,00",4 , 2 ,Laptops
114, HP 14s-fq0023nb Azerty,"699,00",4.5 ,19 ,Laptops
115, Lenovo IdeaPad Flex 5 15IIL05 81X3004QMB Azerty,"1.179,00",4.5 , 7 ,Laptops
116," Apple MacBook Pro 13"" (2020) 16GB/512GB - 1,7GHz Space Gray AZERTY","2.109,00",4.5 , 3 ,Laptops
117, Lenovo Legion 5 17IMH05H 81Y80046MB Azerty,"1.399,00",4.5 , 3 ,Laptops
118, MSI GF63 10SCSR-1014BE Azerty,"1.249,00",0 , 0 ,Laptops
119, Lenovo Yoga Slim 7 15IMH05 82AB0030MB Azerty,"1.349,00",4.5 , 2 ,Laptops
120, Acer Aspire 3 A315-56-36JG Azerty,"559,00",4 ,19 ,Laptops
121, HP ENVY 17-cg0009nb Azerty,"1.299,00",5 , 6 ,Laptops
122, Lenovo Chromebook S345-14AST 81WX000CMB Azerty,"329,00",0 , 0 ,Laptops
123, HP Envy 17-ce1000nb Azerty,"999,00",5 , 6 ,Laptops
124, HP Pavilion 14-ce3036nb Azerty,"679,00",3 , 2 ,Laptops
125, Microsoft Surface Laptop Go i5/8GB/256GB Platinum Azerty,"999,00",0 , 0 ,Laptops
126, Lenovo IdeaPad S540-13IML 81XA007JMB Azerty,"899,00",0 , 0 ,Laptops
127, HP 15s-eq1095nb Azerty,"599,00",5 , 1 ,Laptops
128, Lenovo Gaming 3 15IMH05 81Y400GFMB Azerty,"949,00",4.5 , 3 ,Laptops
129, Lenovo Legion 5 17IMH05 82B30043MB Azerty,"1.249,00",4.5 , 3 ,Laptops
130, Asus VivoBook D705BA-BX041T-BE Azerty,"539,00",0 , 0 ,Laptops
131, Lenovo IdeaPad 330-17AST 81D7007LMB Azerty,"399,00",4.5 , 1 ,Laptops
132, Apple Macbook Air (2020) MWTK2FN/A Zilver AZERTY,"1.069,00",4.5 ,89 ,Laptops
133, Lenovo IdeaPad S540-13IML 81XA007KMB Azerty,"1.189,00",4 , 2 ,Laptops
134, HP 14s-dq1178nb Azerty,"629,00",4 , 1 ,Laptops
135, HP Pavilion 13-an1023nb Azerty,"749,00",4 , 3 ,Laptops
136," Apple MacBook Pro 13"" (2020) MXK72FN/A Silver AZERTY","1.619,00",5 ,19 ,Laptops
137, Asus Vivobook S13 S333JA-EG013T-BE Azerty,"889,00",0 , 0 ,Laptops
138, Lenovo Legion 5 15ARH05 82B5008EMB Azerty,"1.029,00",4.5 , 4 ,Laptops
139, HP Pavilion G 16-a0033nb Azerty,"1.249,00",4.5 , 1 ,Laptops
140, Acer Spin 3 SP314-54N-58HA Azerty,"849,00",4 , 3 ,Laptops
141, Asus VivoBook Flip 14 TP412FA-EC551T-BE Azerty,"619,00",4.5 , 4 ,Laptops
142, Microsoft Surface Pro 7 - i5 - 8 GB - 128 GB,"989,00",4.5 ,69 ,Laptops
143, Lenovo IdeaPad S540-13IML 81XA007MMB Azerty,"1.149,00",0 , 0 ,Laptops
144, Lenovo IdeaPad 3 14IIL05 81WD00BKMB Azerty,"419,00",4 , 1 ,Laptops
145," Apple MacBook Pro 13"" (2020) MWP72FN/A Silver AZERTY","1.999,00",5 ,19 ,Laptops
146, Lenovo IdeaPad 3 15IIL05 81WE00FFMB Azerty,"649,00",4.5 ,13 ,Laptops
147, Lenovo Legion 5 15IMH05 82AU009NMB Azerty,"1.279,00",4.5 , 4 ,Laptops
148, Lenovo IdeaPad S540-13IML 81XA007LMB Azerty,"1.059,00",0 , 0 ,Laptops
149, HP OMEN 15-dh1038nb Azerty,"1.789,00",4 , 5 ,Laptops
150," Apple MacBook Air (2020) 16/512GB 1,1GHz Space Gray AZERTY","1.559,00",4.5 , 4 ,Laptops
151, Acer Aspire 3 A317-51-33GS Azerty,"699,00",4.5 , 7 ,Laptops
152, HP Pavilion 13-an1017nb Azerty,"599,00",4 , 3 ,Laptops
153, HP 14s-dq1180nb Azerty,"799,00",4 , 1 ,Laptops
154, HP 22-df0002nb All-in-One Azerty,"699,00",4.5 , 1 ,Desktops
155, Acer Aspire C27-962 I7511 All-in-One Azerty,"1.349,00",4.5 , 1 ,Desktops
156, HP Pavilion TP01-1545nd,"899,00",4.5 , 2 ,Desktops
157, Lenovo ThinkCentre M720q - 10T700AVMB - Azerty,"729,00",4.5 , 1 ,Desktops
158, HP Pavilion Gaming TG01-1370nd,"1.399,00",4.5 ,36 ,Desktops
159, HP Pavilion 24-k0018nb All-in-One Azerty,"999,00",0 , 0 ,Desktops
160," Apple iMac 4K 21,5"" (2020) 16GB/256GB Intel Core i5 AZERTY","1.949,00",5 , 1 ,Desktops
161," Apple iMac 21,5"" (2020) MHK03FN/A AZERTY","1.299,00",5 , 1 ,Desktops
162," Apple iMac 27"" (2020) MXWU2FN/A AZERTY","2.249,00",4.5 ,14 ,Desktops
163, HP Pavilion TP01-1800nd,"799,00",4.5 ,46 ,Desktops
164," Apple iMac 27"" (2020) 16GB/512GB Intel Core i5 AZERTY","2.549,00",4.5 ,14 ,Desktops
165, HP Pavilion TP01-1540nd,"629,00",4.5 , 4 ,Desktops
166," Apple iMac 27"" (2020) MXWT2FN/A AZERTY","2.049,00",4.5 ,14 ,Desktops
167, Acer Aspire TC-895 I5508,"699,00",4.5 , 4 ,Desktops
168, HP Pavilion Gaming TG01-1340nd,"1.299,00",4.5 ,36 ,Desktops
169, HP Pavilion 27-d0015nb All-in-One Azerty,"1.099,00",4.5 , 1 ,Desktops
170, HP Prodesk 400 G5 DM - 7EM45EA Azerty,"749,00",0 , 0 ,Desktops
171, Lenovo Legion T530-28ICB 90L300Q8MH,"1.199,00",4.5 ,11 ,Desktops
172, Acer Predator Orion 3000 620 I710-04G,"                    1.499,00",3.5 , 1 ,Desktops
173, Acer Predator Orion 5000 615s I910-10GLR,"                    2.699,00",5 , 3 ,Desktops
174, MSI MEG Trident X 10SD-867MYS,"1.999,00",4.5 , 2 ,Desktops
175, MSI MAG Codex 5 10SD-097MYS,"1.699,00",5 , 2 ,Desktops
176, HP OMEN GT12-0480nd,"1.699,00",5 , 2 ,Desktops
177, Lenovo ThinkCentre M75q - 11A4000HMB Azerty,"649,00",4.5 , 1 ,Desktops
178, Acer Aspire TC-895 I8007,"999,00",4.5 , 4 ,Desktops
179, Acer Aspire TC-886 I5521,"679,00",4.5 ,30 ,Desktops
180, HP Slim S01-pF1001nd,"599,00",4.5 ,10 ,Desktops
181, HP Prodesk 400 G6 MT - 7EM16EA Azerty,"1.099,00",4 , 1 ,Desktops
182, HP OMEN GT11-0370nd,"1.249,00",4.5 , 1 ,Desktops
183, Lenovo ThinkCentre M720q - 10T700ARMB - Azerty,"599,00",4.5 , 1 ,Desktops
184, Lenovo ideacentre AIO 520-27ICB F0DE00CTMB Azerty,"999,00",4 , 4 ,Desktops
185, Acer Veriton Z4860G i5 - DQ.VRZEH.011,"849,00",4.5 , 1 ,Desktops
186, MSI Creator P100X 10SE-211MYS,"3.299,00",5 , 3 ,Desktops
187, Lenovo ideacentre 310S-08IGM 90HX003DMH,"                    399,00",4.5 ,29 ,Desktops
188, Lenovo IdeaCentre 3 07ADA05 90MV00A0MH,"499,00",4.5 , 1 ,Desktops
189, Medion Akoya E23403-i7-256-1F16 All-in-One Azerty,"999,00",0 , 0 ,Desktops
190, Lenovo ThinkStation P330 - 30CF0032MB Azerty,"1.349,00",0 , 0 ,Desktops
191, HP ENVY 32-a1006nb All-in-One Azerty,"2.499,00",5 , 1 ,Desktops
192, Medion Erazer Akoya E32005,"499,00",4 , 1 ,Desktops
193, HP Pavilion 24-k0019nb All-in-One Azerty,"1.499,00",0 , 0 ,Desktops
194, HP ENVY TE01-0325nd,"1.299,00",4.5 , 3 ,Desktops
195, Lenovo ThinkCentre M720q - 10T700BSMB - Azerty,"829,00",4.5 , 1 ,Desktops
196, Apple Mac Mini (2020) MXNG2FN/A,"1.249,00",4.5 ,15 ,Desktops
197, HP ENVY 32-a1007nb All-in-One Azerty,"3.999,00",5 , 2 ,Desktops
198, Lenovo ThinkCentre M720q - 10T700AUMB - Azerty,"1.079,00",4.5 , 1 ,Desktops
199, Medion Erazer Engineer E10 MD34698,"699,00",4.5 , 7 ,Desktops
200, MSI Cubi N 8GL-062MYS,"299,00",3.5 , 7 ,Desktops
201, MSI MAG Infinite S 10SI-011MYS,"1.199,00",5 , 1 ,Desktops
202, Lenovo Legion T7 34IMZ5 90Q8003KMH,"2.499,00",5 , 4 ,Desktops
203, Lenovo Legion T730-28ICO 90JF00FYMH,"1.999,00",5 , 6 ,Desktops
204," Apple iMac 27"" (2020) 32GB/512GB Intel Core i5 AZERTY","                    3.049,00",4.5 ,14 ,Desktops
205, HP OMEN GT12-0460nd,"1.499,00",5 , 2 ,Desktops
206, Acer Nitro N50-610 I9424,"1.499,00",4 , 2 ,Desktops
207, Medion Erazer Engineer P10 MD34702,"899,00",0 , 0 ,Desktops
208, HP Pavilion Gaming TG01-1305nd,"899,00",4.5 ,36 ,Desktops
209," Apple Mac Mini (2020) 3,2GHz i7 32GB/512GB - 10Gbit/s Ethernet","2.414,00",4.5 ,15 ,Desktops
210, Medion Akoya E23201S-C-256F8 All-in-One,"499,00",0 , 0 ,Desktops
211, HP OMEN GT12-0490nd,"1.999,00",5 , 2 ,Desktops
212," Apple iMac 27"" (2020) 16GB/1TB Intel Core i5 AZERTY","2.799,00",4.5 ,14 ,Desktops
213," Apple iMac 27"" (2020) 16GB/1TB Intel Core i7 AZERTY","3.099,00",4.5 ,14 ,Desktops
214, MSI MAG Infinite 10SI-1053MYS,"1.199,00",0 , 0 ,Desktops
215, MSI Pro 24X 10M-015EU All-in-One,"1.099,00",4.5 , 1 ,Desktops
216, HP Pavilion TP01-0575nd,"799,00",4.5 ,46 ,Desktops
217, Acer Nitro N50-610 I9422-JK,"1.049,00",4 , 2 ,Desktops
218, Lenovo Legion T5 28IMB05 90NC00J6MH,"1.099,00",0 , 0 ,Desktops
219, Lenovo IdeaCentre A540-27ICB F0EK00CNMB All-in-One Azerty,"1.699,00",0 , 0 ,Desktops
220, Lenovo Legion T7 34IMZ5 90Q8003HMH,"2.899,00",5 , 4 ,Desktops
221, Acer Nitro N50-610 I9405,"                    949,00",4 , 2 ,Desktops
222, Lenovo IdeaCentre 510-15ICK 90LU0055MH,"999,00",4.5 ,30 ,Desktops
223, MSI MAG Infinite S 10SA-008MYS,"949,00",5 , 1 ,Desktops
224, Lenovo ThinkCentre M720s - 10ST0081MB - Azerty,"849,00",4 , 2 ,Desktops
225, Acer Predator Orion 3000 620 I710-08G,"1.899,00",5 , 1 ,Desktops
226, MSI MAG Codex 5 10SC-096MYS,"1.599,00",5 , 2 ,Desktops
227, MSI MAG Infinite 10SI-1051MYS,"999,00",0 , 0 ,Desktops
228, Lenovo IdeaCentre A340-24ICK F0ER00CJMB All-in-One Azerty,"679,00",0 , 0 ,Desktops
229, MSI Cubi 5 10M-045EU,"649,00",4 , 1 ,Desktops
230, Lenovo IdeaCentre 5 14ARE05 90Q30036MH,"749,00",0 , 0 ,Desktops
231, MSI Cubi 5 10M-032EU,"799,00",4 , 1 ,Desktops
232, HP Pavilion TP01-0920nd,"599,00",4.5 ,46 ,Desktops
233, Lenovo ThinkCentre P330 - 30CY0026MB - Azerty,"1.349,00",0 , 0 ,Desktops
234," Apple Mac Mini (2020) 3,0GHz i5 16GB/512GB - 10Gbit/s Ethernet","1.654,00",4.5 ,15 ,Desktops
235," Apple iMac 4K 21,5"" (2020) 8GB/256GB Intel Core i7 AZERTY","1.949,00",5 , 1 ,Desktops
236, Lenovo IdeaCentre A340-22AST F0EQ007CMB All-in-One Azerty,"                    419,00",4.5 , 1 ,Desktops
237, Lenovo IdeaCentre A540-24ICB F0EL00G8MB All-in-One Azerty,"849,00",0 , 0 ,Desktops
238, Lenovo ideacentre 310S-08ASR 90G9006XMH,"                    399,00",4 ,15 ,Desktops
239, Lenovo Legion T730-28ICO 90JF00LRMH,"2.349,00",5 , 6 ,Desktops
240," Apple Mac Mini (2020) 3,2GHz i7 32GB/1TB - 10Gbit/s Ethernet","2.664,00",4.5 ,15 ,Desktops
241, HP Pavilion Gaming TG01-1470nd,"1.499,00",4.5 ,36 ,Desktops
242, Lenovo Legion T5 28IMB05 90NC00J7MH,"1.499,00",0 , 0 ,Desktops
243, Lenovo Legion T5 28IMB05 90NC00JEMH,"1.299,00",0 , 0 ,Desktops
244, Acer Nitro N50-610 I9428,"1.649,00",4 , 2 ,Desktops
245, Acer Predator Orion 5000 615s I710-10GL,"                    1.999,00",5 , 3 ,Desktops
246, Lenovo IdeaCentre G5-14AMR 90Q1002YMH,"1.299,00",0 , 0 ,Desktops
247, Acer Predator Orion 3000 620 I710-08G,"1.899,00",5 , 1 ,Desktops
248, Acer Revo RN86 I3256,"469,00",4.5 , 4 ,Desktops
249, Lenovo IdeaCentre A540-24ICB F0EL00G7MB All-in-One Azerty,"1.199,00",3.5 , 1 ,Desktops
250," Apple iMac 4K 21,5"" (2020) 16GB/256GB Intel Core i3 AZERTY","1.749,00",5 , 1 ,Desktops
251, Medion Akoya E23403-i5-512-F8 All-in-One Azerty,"699,00",0 , 0 ,Desktops
252, Medion Akoya E27401-i5-256-1F16 All-in-One Azerty,"                    949,00",0 , 0 ,Desktops
253," Apple Mac Mini (2020) 3,2GHz i7 16GB/1TB - 10Gbit/s Ethernet","2.164,00",4.5 ,15 ,Desktops
254, MSI Creator P100X 10SF-212MYS,"3.799,00",5 , 3 ,Desktops
255, Lenovo Legion T7 34IMZ5 90Q8003JMH,"3.199,00",5 , 4 ,Desktops
256, Acer Veriton Z4860G i7 - DQ.VRZEH.012,"999,00",4.5 , 1 ,Desktops
257, Lenovo IdeaCentre A340-22AST F0EQ007CMB All-in-One Azerty,"                    419,00",4.5 , 1 ,Desktops
258," Apple iMac 4K 21,5"" (2020) 8GB/512GB Intel Core i3 AZERTY","1.749,00",5 , 1 ,Desktops
259, MSI MPG Trident 3 10SI-017EU,"999,00",4.5 , 1 ,Desktops
260, Acer Chromebox CXI3 I5418,"549,00",4.5 , 8 ,Desktops
261, Acer Predator Orion 3000 620 I510-02G,"                    1.199,00",0 , 0 ,Desktops
262, MSI Cubi 5 10M-035EU,"699,00",4 , 1 ,Desktops
263, Acer Aspire C27-962 I5428 BE All-in-One,"999,00",4.5 , 1 ,Desktops
264, Asus M241DAK-BA066T All-in-One Azerty,"649,00",0 , 0 ,Desktops
265, Lenovo IdeaCentre A340-22AST F0EQ007DMB All-in-One Azerty,"529,00",5 , 1 ,Desktops
266, Acer Aspire C27-962 I5624 BE All-in-One Azerty,"1.099,00",4.5 , 1 ,Desktops
